--- Atoms: 
USER_CREDIBILITY('190') Truth=[0.9]
USER_CREDIBILITY('191') Truth=[0.91]
USER_CREDIBILITY('112') Truth=[0.9]
USER_CREDIBILITY('113') Truth=[0.84]
USER_CREDIBILITY('114') Truth=[0.91]
USER_CREDIBILITY('115') Truth=[0.91]
USER_CREDIBILITY('110') Truth=[0.91]
USER_CREDIBILITY('111') Truth=[0.91]
USER_CREDIBILITY('92') Truth=[0.9]
USER_CREDIBILITY('91') Truth=[0.9]
USER_CREDIBILITY('90') Truth=[0.89]
USER_CREDIBILITY('116') Truth=[0.91]
USER_CREDIBILITY('96') Truth=[0.9]
USER_CREDIBILITY('117') Truth=[0.91]
USER_CREDIBILITY('95') Truth=[0.91]
USER_CREDIBILITY('118') Truth=[0.9]
USER_CREDIBILITY('94') Truth=[0.89]
USER_CREDIBILITY('119') Truth=[0.89]
USER_CREDIBILITY('93') Truth=[0.91]
USER_CREDIBILITY('12') Truth=[0.89]
USER_CREDIBILITY('11') Truth=[0.83]
USER_CREDIBILITY('99') Truth=[0.88]
USER_CREDIBILITY('10') Truth=[0.89]
USER_CREDIBILITY('98') Truth=[0.88]
USER_CREDIBILITY('97') Truth=[0.9]
USER_CREDIBILITY('16') Truth=[0.89]
USER_CREDIBILITY('15') Truth=[0.9]
USER_CREDIBILITY('14') Truth=[0.91]
USER_CREDIBILITY('13') Truth=[0.86]
USER_CREDIBILITY('19') Truth=[0.88]
USER_CREDIBILITY('18') Truth=[0.9]
USER_CREDIBILITY('17') Truth=[0.9]
USER_CREDIBILITY('1') Truth=[0.89]
USER_CREDIBILITY('123') Truth=[0.91]
USER_CREDIBILITY('0') Truth=[0.87]
USER_CREDIBILITY('124') Truth=[0.91]
USER_CREDIBILITY('125') Truth=[0.91]
USER_CREDIBILITY('126') Truth=[0.86]
USER_CREDIBILITY('5') Truth=[0.9]
USER_CREDIBILITY('120') Truth=[0.89]
USER_CREDIBILITY('4') Truth=[0.88]
USER_CREDIBILITY('3') Truth=[0.87]
USER_CREDIBILITY('121') Truth=[0.9]
USER_CREDIBILITY('2') Truth=[0.86]
USER_CREDIBILITY('122') Truth=[0.91]
USER_CREDIBILITY('9') Truth=[0.85]
USER_CREDIBILITY('8') Truth=[0.89]
USER_CREDIBILITY('7') Truth=[0.87]
USER_CREDIBILITY('6') Truth=[0.9]
USER_CREDIBILITY('127') Truth=[0.84]
USER_CREDIBILITY('128') Truth=[0.84]
USER_CREDIBILITY('129') Truth=[0.86]
USER_CREDIBILITY('23') Truth=[0.84]
USER_CREDIBILITY('22') Truth=[0.84]
USER_CREDIBILITY('21') Truth=[0.88]
USER_CREDIBILITY('20') Truth=[0.89]
USER_CREDIBILITY('27') Truth=[0.89]
USER_CREDIBILITY('26') Truth=[0.91]
USER_CREDIBILITY('25') Truth=[0.91]
USER_CREDIBILITY('24') Truth=[0.9]
USER_CREDIBILITY('29') Truth=[0.88]
USER_CREDIBILITY('28') Truth=[0.88]
USER_CREDIBILITY('134') Truth=[0.89]
USER_CREDIBILITY('135') Truth=[0.89]
USER_CREDIBILITY('136') Truth=[0.91]
USER_CREDIBILITY('137') Truth=[0.86]
USER_CREDIBILITY('130') Truth=[0.9]
USER_CREDIBILITY('131') Truth=[0.9]
USER_CREDIBILITY('132') Truth=[0.89]
USER_CREDIBILITY('133') Truth=[0.89]
USER_CREDIBILITY('138') Truth=[0.9]
USER_CREDIBILITY('30') Truth=[0.91]
USER_CREDIBILITY('139') Truth=[0.9]
USER_CREDIBILITY('34') Truth=[0.91]
USER_CREDIBILITY('33') Truth=[0.91]
USER_CREDIBILITY('32') Truth=[0.89]
USER_CREDIBILITY('31') Truth=[0.91]
USER_CREDIBILITY('38') Truth=[0.9]
USER_CREDIBILITY('37') Truth=[0.88]
USER_CREDIBILITY('36') Truth=[0.88]
USER_CREDIBILITY('35') Truth=[0.91]
USER_CREDIBILITY('39') Truth=[0.88]
USER_CREDIBILITY('140') Truth=[0.89]
USER_CREDIBILITY('145') Truth=[0.9]
USER_CREDIBILITY('146') Truth=[0.84]
USER_CREDIBILITY('147') Truth=[0.84]
USER_CREDIBILITY('148') Truth=[0.9]
USER_CREDIBILITY('141') Truth=[0.9]
USER_CREDIBILITY('142') Truth=[0.9]
USER_CREDIBILITY('143') Truth=[0.88]
USER_CREDIBILITY('144') Truth=[0.91]
USER_CREDIBILITY('149') Truth=[0.88]
USER_CREDIBILITY('41') Truth=[0.84]
USER_CREDIBILITY('40') Truth=[0.83]
USER_CREDIBILITY('45') Truth=[0.91]
USER_CREDIBILITY('44') Truth=[0.91]
USER_CREDIBILITY('43') Truth=[0.88]
USER_CREDIBILITY('42') Truth=[0.88]
USER_CREDIBILITY('49') Truth=[0.9]
USER_CREDIBILITY('48') Truth=[0.9]
USER_CREDIBILITY('47') Truth=[0.9]
USER_CREDIBILITY('46') Truth=[0.91]
USER_CREDIBILITY('150') Truth=[0.9]
USER_CREDIBILITY('151') Truth=[0.9]
USER_CREDIBILITY('156') Truth=[0.9]
USER_CREDIBILITY('157') Truth=[0.91]
USER_CREDIBILITY('158') Truth=[0.91]
USER_CREDIBILITY('159') Truth=[0.91]
USER_CREDIBILITY('152') Truth=[0.9]
USER_CREDIBILITY('153') Truth=[0.9]
